,name,price,code,actual_category
74,Motor Elétrico Torqeedo Pulse 300HP,130174.06,71,propulsão
75,Motor de Popa Volvo Hydro Dash 256HP,99664.64,72,propulsão
76,Motor de Popa Torqeedo Core Hydra Flux 162HP,143159.93,73,propulsão
77,Motor de Popa Honda Torque 228HP,86558.56,74,propulsão
78,Motor Diesel Volvo Flow Leviathan Maré 187HP,32768.38,75,propulsão
79,Motor Diesel Honda Aero 205HP,148198.23,76,propulsão
80,Motor Diesel Tohatsu Vector 197HP,44704.67,77,propulsão
81,Motor Elétrico Honda Mako Axis 131HP,121761.56,78,propulsão
82,Motor Diesel Tohatsu Zenith 60HP,66146.85,79,propulsão
83,Motor de Popa Volvo Maré 69HP,129223.84,80,propulsão
84,Motor Elétrico Torqeedo Barracuda Magnum Helix 101HP,122148.49,81,propulsão
85,Motor Elétrico Volvo Nautic Vox 118HP,51634.04,82,propulsão
86,Motor Diesel Yanmar Dash Nitro 184HP,134803.88,83,propulsão
87,Motor de Popa Torqeedo Zenith Peak Thrust 212HP,43423.88,84,propulsão
88,Motor de Popa Parsun Impulse 162HP,38578.7,85,propulsão
89,Motor Diesel Volvo Helix Evo Force 144HP,93523.13,86,propulsão
90,Motor Elétrico Volvo Boost 225HP,66859.9,87,propulsão
91,Motor Diesel Tohatsu Kinetic Poseidon 113HP,48336.49,88,propulsão
92,Motor Elétrico Yamaha Orca Storm Zenith 11HP,78678.05,89,propulsão
93,Motor de Popa Yamaha Thrust Marlin Nexus 182HP,79097.33,90,propulsão
94,Motor Elétrico Tohatsu Zenith Oceanic 113HP,134886.02,91,propulsão
95,Motor Elétrico Yamaha Nautic Kraken 133HP,88854.1,92,propulsão
96,Motor Elétrico Yamaha Flow 204HP,100477.01,93,propulsão
97,Motor de Popa Volvo Magnum 276HP,40750.84,94,propulsão
98,Motor Diesel Honda Leviathan 133HP,69808.04,95,propulsão
99,Motor de Popa Tohatsu Boost Swift 126HP,70620.84,96,propulsão
100,Motor de Popa Tohatsu Evo 168HP,135335.07,97,propulsão
101,Motor Diesel Parsun Velocity Abyss Orca 235HP,79361.13,98,propulsão
102,Motor Elétrico Honda Flux Ultra 273HP,107266.66,99,propulsão
103,Motor Elétrico Honda Vector Abyss 220HP,104600.24,100,propulsão
104,Cabo de Nylon Delta Vortex,463.4,101,ancoragem
105,Cabo de Nylon Bruce Nexus,832.02,102,ancoragem
106,Âncora Delta Swift,1789.19,103,ancoragem
107,Cabo de Nylon Delta Zen Vortex Storm,3713.02,104,ancoragem
108,Cabo de Nylon Danforth Prime,309.54,105,ancoragem
109,Âncora Danforth Nitro Titan Vox,4384.87,106,ancoragem
110,Boia de Arqueamento Bruce Tidal Marlin,1513.38,107,ancoragem
111,Boia de Arqueamento Bruce Titan,3345.56,108,ancoragem
112,Cabo de Nylon Danforth Evo Aqua Mako,622.7,109,ancoragem
113,Corrente Bruce Current,2495.51,110,ancoragem
114,Boia de Arqueamento Danforth Aero Dash,4285.23,111,ancoragem
115,Corrente Danforth Tidal,2180.95,112,ancoragem
116,Âncora Delta Mako Ultra,4394.96,113,ancoragem
117,Boia de Arqueamento Danforth Tidal Zen Swift,799.29,114,ancoragem
118,Cabo de Nylon Delta Force Magnum Leviathan,830.59,115,ancoragem
119,Cabo de Nylon Delta Velocity Oceanic Abyss,2575.52,116,ancoragem
120,Corrente Danforth Zen Abyss Axis,4103.01,117,ancoragem
121,Boia de Arqueamento Delta Force Vox,4315.11,118,ancoragem
122,Âncora Bruce Aqua,3255.82,119,ancoragem
123,Boia de Arqueamento Danforth Flux Tidal,3124.49,120,ancoragem
124,Boia de Arqueamento Delta Nexus,4349.86,145,ancoragem
125,Âncora Danforth Oceanic Helix Flux,3694.27,121,ancoragem
126,Corrente Danforth Zenith Oceanic Torque,1322.47,122,ancoragem
127,Cabo de Nylon Danforth Orca Aero,2777.07,123,ancoragem
128,Corrente Delta Axis,3769.93,124,ancoragem
129,Cabo de Nylon Danforth Kinetic,3402.07,125,ancoragem
130,Corrente Danforth Hydro,2677.06,126,ancoragem
131,Cabo de Nylon Delta Velocity Core Mako,1549.35,127,ancoragem
133,Boia de Arqueamento Bruce Marlin Hydra,4650.72,128,ancoragem
134,Corrente Delta Boost,3266.21,129,ancoragem
135,Boia de Arqueamento Delta Zen Boost Vortex,4144.09,130,ancoragem
136,Boia de Arqueamento Danforth Core Vortex,963.59,131,ancoragem
137,Corrente Bruce Nautic Evo,1562.97,132,ancoragem
138,Âncora Bruce Core Pulse,1892.72,133,ancoragem
139,Âncora Delta Storm Vox,4717.61,134,ancoragem
140,Cabo de Nylon Danforth Titan Poseidon,1644.51,135,ancoragem
141,Cabo de Nylon Bruce Flux Hydro,1973.5,136,ancoragem
142,Âncora Danforth Impulse,3385.47,137,ancoragem
143,Boia de Arqueamento Delta Peak Boost Thrust,4183.05,138,ancoragem
144,Boia de Arqueamento Danforth Torque,1424.88,139,ancoragem
145,Boia de Arqueamento Bruce Dash Titan Pulse,3134.58,140,ancoragem
146,Boia de Arqueamento Bruce Nexus Abyss,4781.8,141,ancoragem
147,Âncora Danforth Vector Evo,826.41,142,ancoragem
148,Âncora Delta Hydra Kraken Velocity,4436.43,143,ancoragem
149,Boia de Arqueamento Bruce Barracuda,2214.14,144,ancoragem
152,Corrente Delta Vox Ion,495.98,146,ancoragem
153,Corrente Danforth Force Leviathan Impulse,3030.08,147,ancoragem
154,Âncora Delta Force Barracuda Mako,4785.56,148,ancoragem
155,Cabo de Nylon Bruce Core,1163.62,149,ancoragem
156,Cabo de Nylon Danforth Magnum Vox,1645.66,150,ancoragem
